Coluna;Periodicidade
;2010;2011;2012
AC;59.465;59.258;53.112
AL;258.261;247.661;229.224
AP;52.832;53.585;50.539
AM;259.817;261.647;273.848
BA;971.502;936.213;860.805
CE;533.274;488.637;443.285
DF;135.384;133.604;131.899
ES;207.278;201.364;198.478
GO;349.011;332.590;313.359
MA;527.789;517.456;505.845
MS;169.714;161.053;152.109
MT;199.887;186.367;181.008
MG;1.201.997;1.157.959;1.137.932
PA;539.535;527.984;525.582
PB;245.344;232.628;213.426
PR;258;682.500;616.347
PE;565.106;539.393;504.805
PI;207.121;204.804;197.831
RJ;780.879;708.349;667.315
RN;173.307;159.740;149.094
RS;646.612;609.565;538.670
RO;124.739;119.083;110.640
RR;37.372;39.577;38.359
SC;397.122;334.953;332.193
SP;2.396.209;2.362.496;2.291.349
SE;140.485;137.450;130.791
TO;104.995;105.056;93.522
