Coluna;Periodicidade
;2010;2011;2012
AC;90.458;86.217;77.172
AL;281.507;261.487;238.861
AP;71.426;68.478;61.852
AM;391.946;372.036;359.614
BA;1.161.233;1.087.132;980.236
CE;606.356;542.857;491.496
DF;165.407;159.233;153.027
ES;246.709;238.426;232.589
GO;370.308;361.608;353.774
MA;710.036;657.853;612.347
MS;189.997;193.642;186.685
MT;224.750;211.747;201.910
MG;1.340.090;1.223.676;1.119.573
PA;881.247;829.537;780.342
PB;295.846;276.798;251.672
PR;368;617.489;606.812
PE;612.314;561.445;532.129
PI;295.061;272.983;254.369
RJ;819.508;739.555;703.087
RN;213.843;198.614;191.147
RS;668.693;638.000;613.948
RO;137.507;135.331;134.900
RR;45.585;44.402;45.809
SC;351.234;393.048;371.251
SP;2.358.849;2.241.584;2.150.142
SE;170.596;162.335;153.550
TO;112.484;112.024;102.649
