Coluna;Periodicidade
;2010;2011;2012
AC;16.027;16.521;19.883
AL;84.367;96.366;88.576
AP;16.290;16.803;15.940
AM;62.593;62.885;66.859
BA;325.442;314.940;299.666
CE;120.712;115.492;116.808
DF;26.357;27.753;26.599
ES;37.286;37.075;38.240
GO;44.102;37.138;32.732
MA;161.132;154.343;140.954
MS;27.257;26.040;21.793
MT;62.110;62.289;54.819
MG;153.324;141.033;135.284
PA;210.327;196.764;191.679
PB;99.061;101.193;103.486
PR;60;79.823;83.489
PE;213.903;190.901;179.388
PI;76.634;68.274;63.187
RJ;202.357;164.772;138.998
RN;72.222;71.765;64.735
RS;82.761;79.839;79.655
RO;32.479;29.068;27.514
RR;6.122;4.708;4.842
SC;36.571;34.218;18.936
SP;251.552;218.406;194.563
SE;41.687;40.408;39.796
TO;11.374;11.040;10.833
