Coluna;Periodicidade
;2010;2011;2012
AC;6.711;6.161;6.945
AL;10.517;10.180;11.185
AP;5.701;6.735;6.592
AM;14.507;16.114;16.663
BA;110.115;121.750;120.822
CE;12.470;13.922;14.714
DF;23.291;23.325;22.383
ES;23.557;22.278;23.348
GO;33.371;28.982;25.005
MA;24.849;25.076;24.904
MS;20.712;20.621;17.292
MT;36.617;40.287;40.876
MG;105.852;113.075;99.200
PA;46.570;46.524;48.883
PB;31.964;31.537;28.882
PR;0;58.469;58.944
PE;25.619;36.234;44.526
PI;5.714;10.981;15.479
RJ;93.479;73.323;57.434
RN;10.936;12.006;11.919
RS;31.467;28.576;30.996
RO;25.354;21.352;20.049
RR;6.569;6.256;5.521
SC;40.970;34.486;9.470
SP;237.080;204.039;185.845
SE;11.743;12.884;12.061
TO;10.512;7.270;10.760
