Coluna;Periodicidade
;2010;2011;2012
AC;33.975;34.181;34.131
AL;108.617;110.331;106.913
AP;34.516;34.259;34.919
AM;142.576;147.964;160.716
BA;537.752;544.704;527.982
CE;338.183;332.955;318.978
DF;78.490;79.000;79.675
ES;108.912;111.210;111.753
GO;226.255;219.906;214.730
MA;290.035;281.130;277.453
MS;83.657;84.650;85.036
MT;129.590;135.826;141.935
MG;730.388;754.055;739.966
PA;324.432;316.368;316.843
PB;122.726;117.328;105.036
PR;142;408.792;403.918
PE;347.431;285.817;251.934
PI;142.256;133.983;128.239
RJ;484.429;446.899;425.608
RN;122.299;119.949;115.599
RS;357.973;349.182;343.197
RO;53.858;56.814;56.061
RR;16.020;17.203;18.493
SC;207.064;208.301;201.697
SP;1.577.814;1.600.820;1.589.174
SE;65.694;65.011;63.584
TO;58.972;63.229;61.118
