Coluna;Periodicidade
UF;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Acre;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045
Alagoas;0,699999999999818;0,600000000000364;0,699999999999818;0,699999999999818;0,699999999999818;0,699999999999818;0,699999999999818;0,699999999999818;0,699999999999818;0,699999999999818;0,699999999999818;0,699999999999818;0,699999999999818;0,600000000000364
Amapá;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045
Amazonas;1,39999999999964;1,5;1,29999999999927;1,29999999999927;1,29999999999927;1,39999999999964;1,39999999999964;1,5;1,5;1,60000000000036;1,60000000000036;1,70000000000073;1,60000000000036;1,5
Bahia;3,70000000000073;3,79999999999927;3,90000000000146;3,90000000000146;3,90000000000146;3,90000000000146;3,90000000000146;4,09999999999854;4;4,09999999999854;4,19999999999709;4,09999999999854;4,09999999999854;4
Ceará;1,89999999999964;2;2;2;1,89999999999964;1,89999999999964;1,89999999999964;2;1,89999999999964;1,89999999999964;1,89999999999964;2;1,89999999999964;2
Distrito Federal;4,40000000000146;4,59999999999854;4,69999999999709;4,80000000000291;4,59999999999854;3,90000000000146;4;3,79999999999927;3,70000000000073;3,59999999999854;3,79999999999927;3,79999999999927;3,79999999999927;3,90000000000146
Espírito Santo;2;1,89999999999964;1,89999999999964;1,89999999999964;1,89999999999964;2;1,89999999999964;1,79999999999927;1,79999999999927;2,09999999999854;2,20000000000073;2,20000000000073;2,29999999999927;2,29999999999927
Goiás;2;2,09999999999854;2,09999999999854;2,20000000000073;2,09999999999854;2,20000000000073;2,29999999999927;2,5;2,5;2,5;2,40000000000146;2,40000000000146;2,5;2,5
Maranhão;0,899999999999636;1;1;1;1;1;1;1;1,10000000000036;1,10000000000036;1,20000000000073;1,20000000000073;1,20000000000073;1,29999999999927
Mato Grosso;1;1;1,10000000000036;1,10000000000036;1,20000000000073;1,29999999999927;1,29999999999927;1,39999999999964;1,60000000000036;1,89999999999964;1,70000000000073;1,5;1,60000000000036;1,70000000000073
Mato Grosso do Sul;0,899999999999636;0,899999999999636;0,899999999999636;0,899999999999636;1;1;1;1;1,10000000000036;1,10000000000036;1;1;1,10000000000036;1,10000000000036
Minas Gerais;8,60000000000582;8,80000000000291;8,80000000000291;8,60000000000582;8,39999999999418;8,5;8,5;8,60000000000582;8,80000000000291;9,10000000000582;9;9,10000000000582;9,10000000000582;9,30000000000291
Pará;1,60000000000036;1,60000000000036;1,5;1,5;1,5;1,60000000000036;1,70000000000073;1,70000000000073;1,79999999999927;1,79999999999927;1,79999999999927;1,89999999999964;1,89999999999964;1,89999999999964
Paraíba;0,699999999999818;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182
Paraná;5,69999999999709;5,69999999999709;5,59999999999854;5,80000000000291;6;5,90000000000146;5,90000000000146;6;6,40000000000146;6,30000000000291;5,90000000000146;5,80000000000291;6,09999999999854;5,90000000000146
Pernambuco;2,29999999999927;2,40000000000146;2,29999999999927;2,40000000000146;2,29999999999927;2,29999999999927;2,29999999999927;2,40000000000146;2,29999999999927;2,29999999999927;2,29999999999927;2,29999999999927;2,29999999999927;2,29999999999927
Piauí;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,600000000000364
Rio de Janeiro;11,1999999999971;11,1999999999971;11,1000000000058;11,6999999999971;11,8999999999942;11,8000000000029;11,6999999999971;11,6000000000058;11,1000000000058;11,5;11,5;11,6000000000058;11,1999999999971;11,3000000000029
Rio Grande do Norte;0,699999999999818;0,699999999999818;0,800000000000182;0,699999999999818;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,800000000000182;0,899999999999636;0,899999999999636;0,800000000000182
Rio Grande do Sul;7,09999999999854;7;6,90000000000146;6,90000000000146;6,90000000000146;6,90000000000146;7,09999999999854;7,09999999999854;7,30000000000291;7,09999999999854;6,69999999999709;6,59999999999854;6,59999999999854;6,59999999999854
Rondônia;0,400000000000091;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364
Roraima;0,100000000000023;0,100000000000023;0,100000000000023;0,100000000000023;0,100000000000023;0,200000000000045;0,200000000000045;0,200000000000045;0,200000000000045;0,100000000000023;0,100000000000023;0,200000000000045;0,200000000000045;0,200000000000045
Santa Catarina;3,40000000000146;3,5;3,5;3,5;3,5;3,70000000000073;3,70000000000073;3,79999999999927;3,90000000000146;4;4;3,90000000000146;3,90000000000146;4,09999999999854
São Paulo;37,2999999999884;36,5;36,7000000000116;36,0999999999767;36;36;35,5999999999767;34,5999999999767;34,0999999999767;33,0999999999767;33,9000000000233;33,9000000000233;33,9000000000233;33,0999999999767
Sergipe;0,5;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364;0,600000000000364
Tocantins;0,300000000000182;0,300000000000182;0,300000000000182;0,300000000000182;0,300000000000182;0,300000000000182;0,400000000000091;0,400000000000091;0,400000000000091;0,400000000000091;0,400000000000091;0,400000000000091;0,400000000000091;0,400000000000091
nbsp;0;0;0;0;0;0;0;0;0;0;0;0;0;0

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Evolução da participação regional e estadual no PIB
Periodicidade;maior ou igual a;1995
Periodicidade;menor ou igual a;2008
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
