Coluna;Periodicidade
UF;2003;2004;2005;2006;2007;2008;2009;Total
Acre;-;2;-;-;-;-;1;3
Alagoas;-;1;-;-;-;4;1;6
Amapá;-;-;-;-;-;1;1;2
Amazonas;-;-;-;-;-;6;1;7
Bahia;-;6;4;1;1;9;1;22
Ceará;2;1;2;1;3;8;1;18
Distrito Federal;3;8;10;7;7;38;1;74
Espírito Santo;-;-;-;-;3;4;1;8
Goiás;-;3;-;2;-;3;1;9
Maranhão;1;-;1;-;-;4;1;7
Mato Grosso;-;-;-;-;-;2;1;3
Mato Grosso do Sul;-;-;1;-;1;-;1;3
Minas Gerais;-;4;4;3;7;20;1;39
Pará;-;-;-;-;-;2;1;3
Paraíba;2;1;1;-;-;5;1;10
Paraná;-;1;9;2;16;6;1;35
Pernambuco;1;9;7;5;25;15;1;63
Piauí;-;-;1;-;1;1;1;4
Rio de Janeiro;3;5;4;11;3;16;1;43
Rio Grande do Norte;1;-;2;-;3;2;1;9
Rio Grande do Sul;-;-;1;4;-;11;1;17
Rondônia;-;-;2;-;-;1;1;4
Roraima;-;-;-;-;-;1;1;2
Santa Catarina;1;-;1;2;1;4;1;10
São Paulo;1;7;8;16;6;10;1;49
Sergipe;-;1;2;1;-;2;1;7
Tocantins;-;-;-;-;-;2;1;3
Total;15;49;60;55;77;177;27;460

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Difusão e popularização de ciência e tecnologia
Periodicidade;maior ou igual a;2003
Periodicidade;menor ou igual a;2009
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
