Coluna;Periodicidade
UF;2003;2004;2005;2006;2007;2008;2009;Total
Acre;-;516790;-;-;-;-;46891,8999999762;563681,899999976
Alagoas;-;697200;-;-;-;1004492,10000038;46891,8999999762;1748584,00000036
Amapá;-;-;-;-;-;200000;46891,8999999762;246891,899999976
Amazonas;-;-;-;-;-;828989;46891,8999999762;875880,899999976
Bahia;-;1111120;1518836;9419509;3749000;1801926;46891,8999999762;17647282,9
Ceará;2750000;180020,700000048;1041200;47250;476700;2068646;46891,8999999762;6610708,60000002
Distrito Federal;4891819,90000153;8816503,69999695;1895254,10000038;1566372;2159663,70000076;10562525,6999969;46891,8999999762;29939030,9999965
Espírito Santo;-;-;-;-;431555,699999809;540174,300000191;46891,8999999762;1018621,89999998
Goiás;-;1407730;-;371232,800000191;-;489395;46891,8999999762;2315249,70000017
Maranhão;1800000;-;831952;-;-;1115400;46891,8999999762;3794243,89999998
Mato Grosso;-;-;-;-;-;150000;46891,8999999762;196891,899999976
Mato Grosso do Sul;-;-;1292000;-;99184,3999999762;-;46891,8999999762;1438076,29999995
Minas Gerais;-;1045900;2068479,79999924;869199,899999619;34096434,2999878;41658673,9000244;46891,8999999762;79785579,800011
Pará;-;-;-;-;-;95000;46891,8999999762;141891,899999976
Paraíba;1330000;16000;2438584,20000076;-;-;19231738;46891,8999999762;23063214,1000007
Paraná;-;52000;3851815;358478,800000191;2772241,40000153;951200;46891,8999999762;8032627,10000169
Pernambuco;120000;2043866,39999962;2505575,5;644100,800000191;17723375,5;8633205,69999695;46891,8999999762;31717015,7999967
Piauí;-;-;165000;-;44767,8000000119;40000;46891,8999999762;296659,699999988
Rio de Janeiro;14338483,8000031;42399631,2999878;1293315,20000076;3118438;762935,100000381;36061997,5999756;46891,8999999762;98021692,8999676
Rio Grande do Norte;1000000;-;13805047,3999939;-;3864600;4000000;46891,8999999762;22716539,2999939
Rio Grande do Sul;-;-;149990;1526910;-;8811146;46891,8999999762;10534937,9
Rondônia;-;-;220000;-;-;51009,8000000119;46891,8999999762;317901,699999988
Roraima;-;-;-;-;-;44998;46891,8999999762;91889,8999999762
Santa Catarina;200345;-;335470;190058,799999952;152734,700000048;2095965,39999962;46891,8999999762;3021465,79999959
São Paulo;922157;3832894;5953460,80000305;8565778,80000305;3835629,70000076;4872292,59999847;46891,8999999762;28029104,8000053
Sergipe;-;20000;231442,599999905;5901181,09999847;-;590750;46891,8999999762;6790265,59999835
Tocantins;-;-;-;-;-;91125;46891,8999999762;138016,899999976
Total;27352805,7000046;62139656,0999844;39597422,599998;32578510,0000017;70168822,2999911;145990650,099993;1266081,29999936;379093948,099972

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Difusão e popularização de ciência e tecnologia
Periodicidade;maior ou igual a;2003
Periodicidade;menor ou igual a;2009
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
