Coluna;Periodicidade
UF;2005;2007;2009
Acre;3,5;3,79999999999927;4,09999999999854
Alagoas;2,5;2,70000000000073;2,70000000000073
Amapá;3,5;3,40000000000146;3,59999999999854
Amazonas;2,70000000000073;3,29999999999927;3,59999999999854
Bahia;2,59999999999854;2,70000000000073;2,79999999999927
Ceará;2,79999999999927;3,40000000000146;3,59999999999854
Distrito Federal;3,29999999999927;3,5;3,90000000000146
Espírito Santo;3,5;3,59999999999854;3,79999999999927
Goiás;3,29999999999927;3,40000000000146;3,59999999999854
Maranhão;3,20000000000073;3,40000000000146;3,59999999999854
Mato Grosso;2,90000000000146;3,59999999999854;4,19999999999709
Mato Grosso do Sul;2,90000000000146;3,5;3,59999999999854
Minas Gerais;3,59999999999854;3,70000000000073;4,09999999999854
Pará;3,09999999999854;2,90000000000146;3,09999999999854
Paraíba;2,5;2,79999999999927;2,79999999999927
Paraná;3,29999999999927;4;4,09999999999854
Pernambuco;2,40000000000146;2,5;3
Piauí;2,59999999999854;3,09999999999854;3,40000000000146
Rio de Janeiro;2,90000000000146;2,90000000000146;3,09999999999854
Rio Grande do Norte;2,59999999999854;2,70000000000073;2,90000000000146
Rio Grande do Sul;3,5;3,70000000000073;3,79999999999927
Rondônia;3,20000000000073;3,29999999999927;3,40000000000146
Roraima;3,20000000000073;3,5;3,70000000000073
Santa Catarina;4,09999999999854;4,09999999999854;4,19999999999709
São Paulo;3,79999999999927;4;4,30000000000291
Sergipe;2,90000000000146;2,90000000000146;2,70000000000073
Tocantins;3,40000000000146;3,59999999999854;3,90000000000146
nbsp;0;0;0

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Ideb por estados
Periodicidade;maior ou igual a;2005
Periodicidade;menor ou igual a;2009
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
