Coluna;Periodicidade
UF;2005;2007;2009
Acre;3,29999999999927;3,79999999999927;4,5
Alagoas;2,90000000000146;3,29999999999927;3,29999999999927
Amapá;3,09999999999854;3;3,59999999999854
Amazonas;3,29999999999927;3,90000000000146;4,5
Bahia;2,59999999999854;2,59999999999854;3,20000000000073
Ceará;3,20000000000073;3,5;4,19999999999709
Distrito Federal;4,40000000000146;4,80000000000291;5,40000000000146
Espírito Santo;3,70000000000073;4,09999999999854;5
Goiás;3,90000000000146;4,30000000000291;4,90000000000146
Maranhão;3,20000000000073;3,29999999999927;4
Mato Grosso;3,59999999999854;4,40000000000146;4,90000000000146
Mato Grosso do Sul;3,20000000000073;4;4,40000000000146
Minas Gerais;4,90000000000146;4,90000000000146;5,80000000000291
Pará;2,79999999999927;2,79999999999927;3,70000000000073
Paraíba;3;3,5;3,70000000000073
Paraná;5;5,19999999999709;5,19999999999709
Pernambuco;3,09999999999854;3,5;3,90000000000146
Piauí;2,59999999999854;3,20000000000073;3,79999999999927
Rio de Janeiro;3,70000000000073;3,79999999999927;4
Rio Grande do Norte;2,59999999999854;3;3,5
Rio Grande do Sul;4,19999999999709;4,5;4,80000000000291
Rondônia;3,59999999999854;4;4,40000000000146
Roraima;3,5;3,5;4,19999999999709
Santa Catarina;4,30000000000291;4,69999999999709;5
São Paulo;4,5;4,69999999999709;5,40000000000146
Sergipe;3;3,40000000000146;3,70000000000073
Tocantins;3,59999999999854;4,19999999999709;4,5
nbsp;0;0;0

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Ideb por estados
Periodicidade;maior ou igual a;2005
Periodicidade;menor ou igual a;2009
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
