Coluna;Periodicidade
;2007;2008;2009;2010
RO;21,4;21;21,2;20,9
AC;24,4;22,7;20,8;20,3
AM;21,5;20,9;20,9;20,6
RR;19;18,9;18,9;19,5
PA;22,5;22;21;19,8
AP;19,1;18,7;18,7;18,3
TO;19,4;18,6;19,1;18,6
MA;21;20,4;19,9;19
PI;18;17,6;17,3;16,8
CE;18,5;18,2;18;17,7
RN;20,4;19,7;19,4;18,9
PB;18,4;17,8;17,7;17,3
PE;18;17,6;17;16,4
AL;21;20;19,7;18,6
SE;19,6;19,1;18,6;18,2
BA;19,2;18,9;18,3;17,5
MG;17,7;17,4;17,1;16,7
ES;18,2;17,9;17,3;17
RJ;17,8;17;16,9;16,5
SP;16,8;16,7;16,6;16,3
PR;17,8;17,5;17,4;16,8
SC;16,5;16,4;16,4;16,2
RS;14,7;14,6;14,7;14,3
MS;18,5;18,2;18,2;18,2
MT;20,4;20,3;20,2;19,7
GO;19,3;19;18,7;17,9
DF;20,7;18,5;18,2;18,1
