Coluna;Periodicidade
;2007;2008;2009;2010
RO;23,7;24,1;24;23,8
AC;24,1;24,2;24,1;23,9
AM;27;26,7;26;25,5
RR;20,7;20,7;20,7;21,3
PA;27,4;26,1;25,4;24,7
AP;23,4;23,8;23,8;23
TO;21,8;22,2;22;21,8
MA;24,8;24,1;23,6;22,8
PI;20,7;20,3;19,8;19,1
CE;23,7;23,4;23,4;23
RN;23,7;23,9;24;23,4
PB;23,4;22,3;21,8;21,3
PE;26,6;25,7;25;24
AL;30,1;29,3;28,7;27,4
SE;25,1;24,6;23,8;23,8
BA;25,1;24,5;23,8;22,9
MG;24,4;23,9;23,6;23,3
ES;24,2;24,2;23,9;23,6
RJ;27,6;26,6;26,6;25,9
SP;28,9;28,6;27,8;27,4
PR;26,1;25,8;25,4;24,9
SC;22,3;22,5;22,5;22,7
RS;21;21,8;21,7;21,5
MS;23,9;24,2;24,4;24,7
MT;21,9;21,7;21,5;21,3
GO;25,7;25,1;24,9;24,4
DF;29,5;28,4;27,9;27,2
