Coluna;Periodicidade
;2007;2008;2009;2010
RO;29,4;29,6;29,1;28,3
AC;32,9;31,8;31,1;30,4
AM;33,7;34,1;32,8;31,9
RR;23,9;24;24,5;24,3
PA;39,6;35;34,8;33,9
AP;33,4;32,5;32,8;32,9
TO;29,4;29,2;28,8;28
MA;37;35,8;34,9;33,4
PI;36,5;35,2;33;31,5
CE;38,1;37,8;38,4;36,9
RN;36,8;36,2;35,8;34,1
PB;34,8;33,3;32,3;31,5
PE;39;36,2;34,5;33,6
AL;40,3;39,6;40,4;38,8
SE;36,4;34,9;34,1;33,6
BA;36,4;35,5;34,3;32,3
MG;33,4;33,1;32,8;32,5
ES;31,9;31,8;31,9;30,5
RJ;35,3;34,3;33,9;32,4
SP;34,8;34,3;33,8;34,1
PR;32,3;31,7;30,8;29,5
SC;29,1;29,4;29,3;29,2
RS;28,3;30;29,1;28,6
MS;29,1;29;29,8;30
MT;29,6;29;28,2;28
GO;33,4;31,3;31,3;30,3
DF;37,2;37,5;38;36,7
