Coluna;Periodicidade
UF;2007;2008;2009;2010;Total
Acre;2;-;-;-;2
Alagoas;1;-;-;-;1
Amapá;-;1;-;-;1
Amazonas;3;-;-;1;4
Bahia;3;-;-;-;3
Ceará;3;-;1;-;4
Distrito Federal;-;1;-;-;1
Espírito Santo;3;-;-;-;3
Goiás;-;-;1;-;1
Maranhão;3;-;-;1;4
Mato Grosso;3;-;-;-;3
Mato Grosso do Sul;2;-;1;-;3
Minas Gerais;1;-;1;-;2
Pará;1;-;1;-;2
Paraíba;3;-;-;-;3
Paraná;2;2;-;1;5
Pernambuco;3;-;3;-;6
Piauí;3;-;-;-;3
Rio de Janeiro;3;-;-;-;3
Rio Grande do Norte;2;-;-;-;2
Rondônia;2;-;-;-;2
Roraima;4;-;-;-;4
Santa Catarina;3;-;1;-;4
Sergipe;4;-;-;1;5
Total;54;4;9;4;71

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Fomento para ciência e tecnologia
Periodicidade;maior ou igual a;2007
Periodicidade;menor ou igual a;2010
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
