Coluna;Periodicidade
UF;2008;2009;2010;Total
Amazonas;-;3;3;6
Bahia;1;4;6;11
Ceará;2;4;4;10
Distrito Federal;2;3;3;8
Minas Gerais;3;6;2;11
Pará;-;3;3;6
Paraíba;1;1;1;3
Paraná;2;2;1;5
Pernambuco;4;6;5;15
Piauí;-;1;1;2
Rio de Janeiro;8;16;17;41
Rio Grande do Norte;1;1;1;3
Rio Grande do Sul;5;7;5;17
Santa Catarina;2;2;3;7
São Paulo;20;37;36;93
Sergipe;-;1;1;2
Total;51;97;92;240

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Fomento para ciência e tecnologia
Periodicidade;maior ou igual a;2008
Periodicidade;menor ou igual a;2010
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
