Coluna;Periodicidade
UF;2005;2006;2007;2008;2009;2010;Total
Acre;-;-;92,25;36,2800000000279;9,72000000000116;-;138,250000000029
Alagoas;-;-;-;404,35999999987;313,89000000013;102,979999999981;821,229999999981
Amazonas;-;-;-;75,6899999999441;57,640000000014;19,9599999999919;153,28999999995
Bahia;-;-;217,969999999972;1057,75999999978;668,25;48,9500000000116;1992,92999999976
Ceará;187,469999999972;-;206,310000000056;1190,53999999911;624,889999999665;181,830000000075;2391,03999999887
Distrito Federal;301,040000000037;-;-;872,830000000075;468,279999999795;23,0400000000081;1665,18999999992
Espírito Santo;-;-;-;175,830000000075;158,969999999972;7,59999999999854;342,400000000045
Goiás;-;-;158,25;906,900000000373;585,730000000447;38,5499999999884;1689,43000000081
Maranhão;-;-;68;226,989999999991;279,509999999776;8,69999999999709;583,199999999764
Mato Grosso;-;-;-;486,64000000013;327,720000000205;3,68999999999869;818,050000000334
Mato Grosso do Sul;-;-;-;466,290000000037;172,199999999953;77,0799999999581;715,569999999949
Minas Gerais;360;200,139999999898;196,25;2559,53000000119;1893,5;388,330000000075;5597,75000000116
Pará;-;-;-;496,700000000186;373,189999999944;-;869,89000000013
Paraíba;128,209999999963;-;104,900000000023;1074,1400000006;363,850000000093;34,1199999999953;1705,22000000067
Paraná;-;190;211,5;1829,74000000022;1435,25;247,739999999991;3914,23000000021
Pernambuco;266,060000000056;-;122,530000000028;1055,94999999925;741,200000000186;111,300000000047;2297,03999999957
Piauí;-;-;-;147,770000000019;82,5400000000373;21,6499999999942;251,96000000005
Rio de Janeiro;337;27,1000000000058;274,14000000013;2486,05999999866;1864,06000000052;384,379999999888;5372,7399999992
Rio Grande do Norte;-;-;179,550000000047;199,439999999944;81,3399999999674;66,0300000000279;526,359999999986
Rio Grande do Sul;170;-;869,679999999702;2492,69000000134;1732,61999999918;292,709999999963;5557,70000000019
Rondônia;-;-;80;104,550000000047;88,4599999999627;-;273,010000000009
Santa Catarina;-;-;227,800000000047;1343,5;812,620000000112;29,0199999999895;2412,94000000015
São Paulo;651,400000000373;150;1382,21000000089;4745,3200000003;3084,94000000134;465,649999999907;10479,5200000028
Sergipe;-;-;140;132,149999999907;158,649999999907;70,2299999999814;501,029999999795
Tocantins;-;-;-;130,080000000075;108,920000000042;8,83000000000175;247,830000000118
Total;2401,1800000004;567,239999999903;4531,3400000009;24697,7300000011;16487,9400000013;2632,36999999987;51317,8000000035

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Fomento para ciência e tecnologia
Periodicidade;maior ou igual a;2005
Periodicidade;menor ou igual a;2010
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
