Coluna;Periodicidade
UF;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Total
Acre;22;-;146,469999999972;26;117,939999999944;24,0599999999977;797,44000000041;440,970000000205;113,739999999991;216,510000000009;1905,13000000053
Alagoas;106,609999999986;29,679999999993;159,830000000075;244,060000000056;182,050000000047;281,939999999944;2358,8200000003;1965,43999999948;1039,83000000007;1046,09999999963;7414,35999999958
Amapá;53,5900000000256;-;-;104;-;-;203,010000000009;593,320000000298;13,1199999999953;132,780000000028;1099,82000000036
Amazonas;409,220000000205;149,780000000028;1027,8599999994;972,790000000037;609,950000000186;1026,8900000006;3815,66000000015;4050,96000000089;5219,25;4895,13000000268;22177,4900000042
Bahia;1394,19999999925;556,509999999776;2238,1799999997;2115,91000000015;2827,98999999836;3713,1799999997;9588,1400000006;8814,34000000358;7808,97999999672;8020,75;47078,1799999978
Ceará;1314,16999999993;284,910000000149;1712,97000000067;1193,3900000006;2039,97000000067;2634,37999999896;11399,2699999958;9203,1400000006;12467,2699999958;7467,3599999994;49716,8299999926
Distrito Federal;1199,75999999978;641,629999999888;2388,8599999994;3615,0700000003;4527,54999999702;2438,44999999925;8448,03000000119;10132,7800000012;10368,2900000066;8102,50999999791;51862,9300000025
Espírito Santo;105,189999999944;36,5499999999884;164,979999999981;178,979999999981;259,450000000186;589,669999999925;2209,98999999836;2357,98000000045;2018,68999999948;1208,69999999925;9130,17999999755
Goiás;207,330000000075;51,5100000000093;908,259999999776;572,419999999925;691,480000000447;563,290000000037;3306,53000000119;3724,78999999911;2502,19999999925;1577,55000000075;14105,3600000006
Maranhão;189,870000000112;34,9199999999837;95,3000000000466;223,540000000037;201,459999999963;103,040000000037;2407,89999999851;1392,40000000037;979,900000000373;530,150000000373;6158,47999999981
Mato Grosso;99,7299999999814;-;102,689999999944;184,120000000112;231,459999999963;105,689999999944;1724,3599999994;1644,44999999925;747,349999999627;2346,51999999955;7186,36999999778
Mato Grosso do Sul;71,7299999999814;-;429,64000000013;210,75;942,44000000041;242,550000000047;1898,83000000007;1648,93999999948;1495,1400000006;955,44000000041;7895,46000000113
Minas Gerais;7130,18999999762;2600,9299999997;5577,8599999994;10027,3199999928;11835,25;10956,0199999958;22178,2100000083;19331,8799999952;15832,7300000042;11644,9699999988;117115,359999992
Pará;587,959999999963;275,009999999776;1200,98000000045;1489,58999999985;1159,09999999963;1500,78999999911;6152,04999999702;4410,1799999997;6648,06000000238;4831,8200000003;28255,5399999982
Paraíba;1217,18999999948;78,9399999999441;1718,46000000089;1608,41000000015;1692,5;1135,47000000067;9591,48999999464;6117,96000000089;3792,26999999955;3207,35000000149;30160,0399999977
Paraná;2542,51000000164;1046,58999999985;2740,94999999925;2648,12000000104;4186,53999999911;3082,82999999821;11530,0600000024;10768,3700000048;7932,15999999642;6836,18999999762;53314,3200000003
Pernambuco;1688,3200000003;672,620000000112;2188,44999999925;2434,80000000075;4041,46999999881;3969,1400000006;16312,7199999988;18366,1899999976;12424,5900000036;11264,3900000006;73362,6900000004
Piauí;113,369999999995;127,469999999972;650,910000000149;227,520000000019;450,580000000075;432,470000000205;1082,98000000045;747,030000000261;1165,08999999985;2769,0700000003;7766,49000000127
Rio de Janeiro;13244,3799999952;4641,42000000179;15740,3900000006;14347,299999997;19144,7400000095;15461,7099999934;41566,9700000286;29122,2599999905;25838,4199999869;28933,1299999952;208040,719999999
Rio Grande do Norte;454,700000000186;102,719999999972;659,080000000075;968,80999999959;1651,81000000052;2130,48999999836;6035,74000000209;4643,65999999642;3514,80999999866;2592,83999999985;22754,6599999957
Rio Grande do Sul;6729,61999999732;3300,8900000006;7353,46999999881;8149,63000000268;9036,31999999285;5488,09000000358;18860,849999994;20183,2299999893;17997,2899999917;18602,1399999857;115701,529999956
Rondônia;100;-;37,9199999999837;77,8800000000047;599,849999999627;271,899999999907;1434,61999999918;446,339999999851;215,159999999916;303,569999999832;3487,2399999983
Roraima;8;-;17,140000000014;49,8400000000256;63,6500000000233;-;544,839999999851;94,6899999999441;57,1500000000233;11,1999999999971;846,509999999878
Santa Catarina;2106,46999999881;397,64000000013;1513,77999999933;2367,05999999866;2975,64999999851;1694,81000000052;10637,200000003;7479,4299999997;6331,38000000268;4397,5;39900,9200000013
São Paulo;15925,6200000048;5696,09000000358;17790,6899999976;12122,5699999928;32900,6600000262;29261,4799999893;55440,3199999928;50762,2200000286;54300,5600000024;43643,7300000191;317843,940000057
Sergipe;50,9899999999907;17,1700000000128;65,9899999999907;159,949999999953;391,830000000075;183,649999999907;2116,05000000075;1503,5;2271,96999999881;3225;9986,09999999948
Tocantins;100;-;-;39,25;75,6999999999534;9,50999999999476;771,169999999925;1060,56000000052;469,470000000205;532,990000000224;3058,65000000082
Uf não Identificada;-;-;-;-;-;24,9500000000116;317,569999999832;151,449999999953;-;-;493,969999999797
Total;57172,7199999946;20742,9800000052;66631,1099999949;66359,0799999866;102837,390000022;87326,4499999781;252730,820000018;221158,460000008;203564,869999986;179295,389999999;1257819,26999999

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Fomento para ciência e tecnologia
Periodicidade;maior ou igual a;2001
Periodicidade;menor ou igual a;2010
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
