Coluna;Periodicidade
UF;2008;2009;2010;Total
Amazonas;-;3100,48999999836;1861,15000000037;4961,63999999873
Bahia;1524,74000000022;3508,23000000045;3781,85000000149;8814,82000000216
Ceará;1712,49000000022;6211,86999999732;3911;11835,3599999975
Distrito Federal;2951,73999999836;1707,94999999925;3937,9299999997;8597,61999999732
Minas Gerais;2501,0700000003;3303,48999999836;1408,52999999933;7213,08999999799
Pará;-;2583,53999999911;2127,53000000119;4711,0700000003
Paraíba;809,860000000335;646,469999999739;301;1757,33000000007
Paraná;2748,03999999911;2591,30000000075;793,589999999851;6132,9299999997
Pernambuco;5029,25;5386,22999999672;6241,0700000003;16656,549999997
Piauí;-;776,5;2425,42000000179;3201,92000000179
Rio de Janeiro;4963,96000000089;13098,9599999934;8484,23000000417;26547,1499999985
Rio Grande do Norte;334,160000000149;1018,87999999989;560;1913,04000000004
Rio Grande do Sul;4808,97999999672;7249,63000000268;3262,9299999997;15321,5399999991
Santa Catarina;1877,22000000067;1293,40000000037;873,660000000149;4044,28000000119
São Paulo;14785,7600000054;25328,3899999857;20911,0200000107;61025,1700000018
Sergipe;-;1358,83999999985;1750,25999999978;3109,09999999963
Total;44047,2700000023;79164,169999972;62631,1700000186;185842,609999993

Seleções vigentes
Variável;Critério;Valor
Grupo Informação;igual a;Fomento para ciência e tecnologia
Periodicidade;maior ou igual a;2008
Periodicidade;menor ou igual a;2010
UF;igual a;Acre
;;Alagoas
;;Amazonas
;;Amapá
;;Bahia
;;Ceará
;;Distrito Federal
;;Espírito Santo
;;Goiás
;;Maranhão
;;Minas Gerais
;;Mato Grosso do Sul
;;Mato Grosso
;;Pará
;;Paraíba
;;Pernambuco
;;Piauí
;;Paraná
;;Rio de Janeiro
;;Rio Grande do Norte
;;Rondônia
;;Roraima
;;Rio Grande do Sul
;;Santa Catarina
;;Sergipe
;;São Paulo
;;Tocantins
;;Uf não Identificada
VAUF;igual a;Uf
