Coluna;Periodicidade
;2007;2008;2009;2010
RO;4,5;4,2;3,4;3,3
AC;6,3;5,5;4,7;4,3
AM;9;8,8;7,7;6,6
RR;3,3;3,1;2,8;2,6
PA;9,2;8,6;7,2;6,1
AP;4,7;4;3,4;3,1
TO;2,7;2,5;2,1;1,9
MA;6,2;5,7;4,4;4,1
PI;6,1;5,7;4,6;3,8
CE;4,8;4,3;3,5;2,9
RN;7,2;7,1;6,5;5,6
PB;11,5;10,3;8,7;7,8
PE;10,4;8,4;6,2;4,8
AL;12;10;9,1;8,7
SE;7,2;6,9;5,7;5
BA;9,7;9;7,6;6,6
MG;3,3;2,9;2,4;2
ES;3,5;3;2,5;1,8
RJ;3,6;3,4;3,1;2,6
SP;0,9;0,8;0,8;0,8
PR;2;2,4;2,1;2
SC;0,8;0,8;0,8;0,8
RS;2,1;1,5;1,5;1,4
MS;3,8;3;2,6;2,9
MT;5;4,5;2,8;1,2
GO;5,6;5;4,1;3,8
DF;1,8;1,9;1,6;1,2
