Coluna;Periodicidade
;2007;2008;2009;2010
RO;13,2;12,7;11,6;11,5
AC;14,9;14,3;12,8;12,5
AM;11,2;14,1;13,4;10,2
RR;8,9;8,7;7,8;6,9
PA;20;22;20,7;19,2
AP;19,6;18,4;17,5;15,3
TO;11,7;11,3;8,7;8
MA;17,5;16,2;13,8;14,7
PI;19,7;22,2;20,2;16,7
CE;14,7;13,8;13;10,6
RN;24,2;22,7;20,9;17,3
PB;18,9;18,8;17,8;17,4
PE;22;18;14;11,1
AL;19,9;17;19,2;17,8
SE;18,3;18,4;16,2;15,5
BA;19,9;19,8;18,5;15,7
MG;12;11;9,3;8,8
ES;12,5;11,5;10,7;7
RJ;14;14,8;13,8;12,8
SP;5,2;4,3;3,9;4,5
PR;9;10,3;8,3;6,7
SC;7,1;7,3;6,8;7,1
RS;13;12,4;11,7;11
MS;12,7;11,9;11,8;11
MT;17,9;19,4;15,8;11,2
GO;15,9;15,1;12;11,7
DF;8;5;7,3;6,6
