Coluna;Periodicidade
;2007;2008;2009;2010
RO;81,3;81;82,1;82,2
AC;81,7;83,4;86,1;87
AM;76,6;77,4;78,5;81,2
RR;84,9;85,8;87,8;88,5
PA;72,1;74;78;81,8
AP;80,9;82,2;83,4;86,1
TO;87,9;87,8;89,1;88,9
MA;82,6;83,1;85,6;86,7
PI;77;77,9;81;83
CE;83,8;84,5;87;88,4
RN;76,7;76,5;77,3;79,1
PB;72,9;74,5;76,6;78,1
PE;73,5;76,4;80,5;83,5
AL;72,8;77;77,5;77
SE;72,3;69,7;73,1;74,3
BA;72,3;72,9;75,3;77,7
MG;85,8;86,4;88;89,6
ES;85,1;85,1;85,7;87,9
RJ;83,3;82,7;80,9;82,4
SP;92,6;93,4;93,9;94,3
PR;87,7;87,7;89,1;88,8
SC;90,3;90,8;91,1;93,1
RS;83,9;84,1;83,9;84,4
MS;81,4;81,8;82;81,6
MT;87,1;88,3;92,3;94,8
GO;85,9;86;86,8;87,5
DF;83,8;89,2;88,7;88,7
