Coluna;Periodicidade
;2007;2008;2009;2010
RO;74,4;75,2;76,1;76,7
AC;75,9;77,8;79,2;78,9
AM;77,9;74,6;77,4;81,7
RR;79,5;79,5;81,6;82,2
PA;63,3;68,2;68,1;68,9
AP;70;69,5;70,6;73,6
TO;80,1;80,2;81,2;82,1
MA;75;76,3;78,5;76,8
PI;70,6;69;71,3;74,1
CE;76,7;78,5;79,9;82,2
RN;68,3;69,1;71,1;76,1
PB;72,8;72,3;74,1;74,3
PE;70,1;73,1;77;80,2
AL;71,7;74,2;71,1;71,8
SE;71,5;65,4;69;70,4
BA;68,7;68;69,7;71,9
MG;75,6;76,9;78,4;77,8
ES;77,2;77,6;74,8;79,3
RJ;67,3;65,8;66,6;68,3
SP;79,8;82;81,7;82,9
PR;79,7;78,2;80,6;81,6
SC;83,8;83,8;83,7;82,5
RS;68;68;68,3;69,1
MS;72,9;72,3;71,7;71,1
MT;73,3;71,2;72,6;71,6
GO;73,6;73,5;74,7;76,1
DF;71,1;82;76,6;74,8
