Coluna;Periodicidade
;2006;2007;2008;2009;2010
RO;39,6;35,7;28,2;29,9;30,3
AC;47,9;41,8;31,3;33;36,3
AM;67,2;62,7;48,9;49,7;51
RR;36,1;31,9;22,4;23,6;23,5
PA;78,1;69;50,5;57,4;59,2
AP;57,1;53,3;36,3;41,9;42,6
TO;55,9;51,1;33,5;33,2;34,2
MA;64,2;61,8;41,2;45,5;48,3
PI;69,7;69,6;48,1;54,8;56,7
CE;50,5;46,7;31,1;34;34,7
RN;59,2;57;38;43,6;45,4
PB;62,1;58,3;36,8;40,1;41,7
PE;62,4;61;43;48,4;49,1
AL;69,3;66,1;41,9;47,2;49,4
SE;65,2;62,9;42,6;47,1;51,6
BA;65,6;61,3;43,1;47,9;49,7
MG;37,9;35,2;31,4;31;31,3
ES;34,4;31;29,1;27,5;25,1
RJ;54,9;53,1;49,1;45,9;43,5
SP;22,6;21;19,1;17,3;18,1
PR;30;28,6;26,9;25,5;23,9
SC;21,7;18,3;17,9;16,7;16,4
RS;34,6;33,8;33,4;32;30,5
MS;39,4;36,2;31,6;30,7;33,1
MT;44,4;40,7;37,9;37,3;35,5
GO;43,9;40,8;36,2;34,6;33,6
DF;37,7;37,3;26,1;29,9;29,4
