Coluna;Periodicidade
;2006;2007;2008;2009;2010
RO;29,1;29,9;21,6;24,6;26,9
AC;36,8;34,9;24,6;26,7;29,1
AM;43,5;42,1;30,6;33,9;35,8
RR;24,8;25,3;18,6;21;22,8
PA;57,8;47,2;33,4;38,5;39,9
AP;30,9;30,4;22,1;25,3;27,1
TO;30,5;28;19,9;22;22,8
MA;42;40,2;26,2;29,4;30,5
PI;43,3;44,2;29,6;33,4;34,8
CE;30,6;29,3;22,4;24,8;25,5
RN;35,2;34,3;25,2;29,3;31,1
PB;44,8;44,2;28,9;32,4;34,5
PE;39;38,6;28;30;29,7
AL;47;45,7;31,2;34,1;35,4
SE;45,4;43,6;31,3;36;37,9
BA;46,1;44,9;32,3;36,4;38,1
MG;23,2;22,3;20,5;20,2;19,3
ES;23;22,8;21,9;21,5;20,6
RJ;29,3;30,7;28,6;28,4;28
SP;9,7;9,2;8,9;8,3;8,4
PR;16,9;16,4;15,6;15,4;14,8
SC;14,7;14,5;14,8;15;15,2
RS;21,9;21,9;21,6;22,2;22,6
MS;29,2;27,7;24,7;24,6;27
MT;27;25,2;22,9;20,9;18,3
GO;26,3;24,6;21,8;21,8;21,7
DF;24,2;25;20,8;18,7;17,9
